Time,C1,C2,BR*C1,(1-B)R*C2,Ct
4.0500,.43907E-01,.48977E-01,.43907E-01,.48977E+00,.53367E+00
4.1000,.43576E-01,.48707E-01,.43576E-01,.48707E+00,.53064E+00
4.1500,.43247E-01,.48438E-01,.43247E-01,.48438E+00,.52763E+00
4.2000,.42920E-01,.48171E-01,.42920E-01,.48171E+00,.52463E+00
4.2500,.42596E-01,.47904E-01,.42596E-01,.47904E+00,.52164E+00
4.3000,.42274E-01,.47638E-01,.42274E-01,.47638E+00,.51866E+00
4.3500,.41954E-01,.47374E-01,.41954E-01,.47374E+00,.51569E+00
4.4000,.41637E-01,.47110E-01,.41637E-01,.47110E+00,.51274E+00
4.4500,.41322E-01,.46848E-01,.41322E-01,.46848E+00,.50980E+00
4.5000,.41010E-01,.46587E-01,.41010E-01,.46587E+00,.50688E+00
4.5500,.40700E-01,.46326E-01,.40700E-01,.46326E+00,.50396E+00
4.6000,.40392E-01,.46067E-01,.40392E-01,.46067E+00,.50106E+00
4.6500,.40086E-01,.45809E-01,.40086E-01,.45809E+00,.49818E+00
4.7000,.39782E-01,.45552E-01,.39782E-01,.45552E+00,.49530E+00
4.7500,.39481E-01,.45296E-01,.39481E-01,.45296E+00,.49244E+00
4.8000,.39182E-01,.45041E-01,.39182E-01,.45041E+00,.48959E+00
4.8500,.38885E-01,.44787E-01,.38885E-01,.44787E+00,.48675E+00
4.9000,.38591E-01,.44534E-01,.38591E-01,.44534E+00,.48393E+00
4.9500,.38298E-01,.44282E-01,.38298E-01,.44282E+00,.48112E+00
5.0000,.38008E-01,.44031E-01,.38008E-01,.44031E+00,.47832E+00
5.0500,.37719E-01,.43781E-01,.37719E-01,.43781E+00,.47553E+00
5.1000,.37433E-01,.43533E-01,.37433E-01,.43533E+00,.47276E+00
5.1500,.37149E-01,.43285E-01,.37149E-01,.43285E+00,.47000E+00
5.2000,.36867E-01,.43039E-01,.36868E-01,.43039E+00,.46725E+00
5.2500,.36588E-01,.42793E-01,.36588E-01,.42793E+00,.46452E+00
5.3000,.36310E-01,.42549E-01,.36310E-01,.42549E+00,.46180E+00
5.3500,.36034E-01,.42305E-01,.36034E-01,.42305E+00,.45909E+00
5.4000,.35761E-01,.42063E-01,.35761E-01,.42063E+00,.45639E+00
5.4500,.35489E-01,.41822E-01,.35489E-01,.41822E+00,.45370E+00
5.5000,.35219E-01,.41581E-01,.35219E-01,.41581E+00,.45103E+00
5.5500,.34951E-01,.41342E-01,.34952E-01,.41342E+00,.44837E+00
5.6000,.34686E-01,.41104E-01,.34686E-01,.41104E+00,.44573E+00
5.6500,.34422E-01,.40867E-01,.34422E-01,.40867E+00,.44309E+00
5.7000,.34160E-01,.40631E-01,.34160E-01,.40631E+00,.44047E+00
5.7500,.33900E-01,.40396E-01,.33900E-01,.40396E+00,.43786E+00
5.8000,.33642E-01,.40162E-01,.33642E-01,.40162E+00,.43526E+00
5.8500,.33386E-01,.39929E-01,.33386E-01,.39929E+00,.43268E+00
5.9000,.33132E-01,.39697E-01,.33132E-01,.39697E+00,.43010E+00
5.9500,.32880E-01,.39466E-01,.32880E-01,.39466E+00,.42754E+00
