Time,C1,C2,BR*C1,(1-B)R*C2,Ct
4.0500,.23717E-02,.23439E-01,.23717E-02,.23439E-01,.25810E-01
4.1000,.22454E-02,.22196E-01,.22454E-02,.22196E-01,.24441E-01
4.1500,.21258E-02,.21018E-01,.21258E-02,.21018E-01,.23144E-01
4.2000,.20125E-02,.19904E-01,.20125E-02,.19904E-01,.21916E-01
4.2500,.19053E-02,.18848E-01,.19053E-02,.18848E-01,.20753E-01
4.3000,.18038E-02,.17848E-01,.18038E-02,.17848E-01,.19652E-01
4.3500,.17077E-02,.16902E-01,.17077E-02,.16902E-01,.18609E-01
4.4000,.16168E-02,.16005E-01,.16168E-02,.16005E-01,.17622E-01
4.4500,.15306E-02,.15156E-01,.15306E-02,.15156E-01,.16687E-01
4.5000,.14491E-02,.14353E-01,.14491E-02,.14353E-01,.15802E-01
4.5500,.13719E-02,.13591E-01,.13719E-02,.13591E-01,.14963E-01
4.6000,.12988E-02,.12871E-01,.12988E-02,.12871E-01,.14169E-01
4.6500,.12296E-02,.12188E-01,.12296E-02,.12188E-01,.13418E-01
4.7000,.11641E-02,.11542E-01,.11641E-02,.11542E-01,.12706E-01
4.7500,.11021E-02,.10929E-01,.11021E-02,.10929E-01,.12032E-01
4.8000,.10434E-02,.10350E-01,.10434E-02,.10350E-01,.11393E-01
4.8500,.98783E-03,.98008E-02,.98783E-03,.98008E-02,.10789E-01
4.9000,.93521E-03,.92810E-02,.93521E-03,.92810E-02,.10216E-01
4.9500,.88539E-03,.87887E-02,.88539E-03,.87887E-02,.96741E-02
5.0000,.83823E-03,.83226E-02,.83823E-03,.83226E-02,.91608E-02
5.0500,.79358E-03,.78812E-02,.79358E-03,.78812E-02,.86748E-02
5.1000,.75130E-03,.74632E-02,.75130E-03,.74632E-02,.82145E-02
5.1500,.71128E-03,.70673E-02,.71128E-03,.70673E-02,.77786E-02
5.2000,.67339E-03,.66925E-02,.67339E-03,.66925E-02,.73659E-02
5.2500,.63752E-03,.63375E-02,.63752E-03,.63375E-02,.69751E-02
5.3000,.60356E-03,.60014E-02,.60356E-03,.60014E-02,.66050E-02
5.3500,.57141E-03,.56831E-02,.57141E-03,.56831E-02,.62545E-02
5.4000,.54097E-03,.53817E-02,.54097E-03,.53817E-02,.59226E-02
5.4500,.51215E-03,.50962E-02,.51215E-03,.50962E-02,.56084E-02
5.5000,.48487E-03,.48259E-02,.48487E-03,.48259E-02,.53108E-02
5.5500,.45904E-03,.45700E-02,.45904E-03,.45700E-02,.50290E-02
5.6000,.43459E-03,.43276E-02,.43459E-03,.43276E-02,.47622E-02
5.6500,.41144E-03,.40980E-02,.41144E-03,.40980E-02,.45095E-02
5.7000,.38952E-03,.38807E-02,.38952E-03,.38807E-02,.42702E-02
5.7500,.36877E-03,.36749E-02,.36877E-03,.36749E-02,.40436E-02
5.8000,.34913E-03,.34799E-02,.34913E-03,.34799E-02,.38291E-02
5.8500,.33053E-03,.32954E-02,.33053E-03,.32954E-02,.36259E-02
5.9000,.31292E-03,.31206E-02,.31292E-03,.31206E-02,.34335E-02
5.9500,.29625E-03,.29551E-02,.29625E-03,.29551E-02,.32513E-02

