<Name>,Layer1Thick,<porosity1>,<permX1>,<permY1>,AnisotropyRatio1   (X/Z),<permZ1>,Layer2Thick,<porosity2>,<permX2>,<permY2>,anisotropyRatio2   (X/Z),<permZ2>,<DomainDepth>,<zInBetweenLayers>,<AquiferLen>,<boundaryWaterTable>,<desiredTimeStep>,dX,<CellRatioX>,<nX>,dY,<CellRatioY>,<nY>,dZ,<CellRatioZ>,<nZ>,DistanceTo Contamination,<setbackDist>,Diameter LeakingPipe,<setbackPlusLeak>,<leakingYNorth>,<leakingYSouth>,LeakingFlow,<rateLeaking>,<rateExtraction>,<wellZTop>,<wellZBottom>,<wellXY>,wellDiameter,extractionFlux,<observationAtWell>,<obsTimeStep>,<warmUpTime>,Concentration,<initialConcentration>,<katt>,<kdet>,<decayAq>,<decayIm>
SandOnGravel_Domestic_028,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.39847134156817E-06,0
SandOnGravel_Domestic_029,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,9.50680860363411E-07,0
SandOnGravel_Domestic_030,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.16333811985839E-06,0
SandOnGravel_Domestic_031,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.3908967565952E-06,0
SandOnGravel_Domestic_032,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.50229181003698E-06,0
SandOnGravel_Domestic_033,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.59342196043634E-06,0
SandOnGravel_Domestic_034,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.92694881866469E-06,0
SandOnGravel_Domestic_035,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.67303878824632E-06,0
SandOnGravel_Domestic_036,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,8.87466461218242E-07,0
SandOnGravel_Domestic_037,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.89478509357646E-06,0
