Time [d],dt_flow [d],dt_tran [d],Global Water Mass [kg],Global Vaq [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
2.10000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.99983505E+05,-0.00000000E+00,-0.00000000E+00,-7.98616282E+00,-7.38210833E-01,8.76454852E+05,4.30971009E+04,8.76594172E-05,4.31039520E-06,9.53567310E+05,4.68888785E+04,9.53718913E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.33039865E-16,-3.06857702E-17,-0.00000000E+00,-0.00000000E+00,-9.32193653E-17,-2.87938844E-17,-2.03335103E+06,-9.99840745E+04,-8.52356117E+00,-2.04036576E+00,2.03328750E+05,9.99809506E+03,2.00000000E+05,1.00000000E+04,7.76991745E+06,1.99983505E+05
2.20000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.09980203E+05,-0.00000000E+00,-0.00000000E+00,-8.75782356E+00,-7.71660739E-01,9.19551953E+05,4.30971009E+04,9.19698124E-05,4.31039520E-06,1.00045619E+06,4.68888785E+04,1.00061525E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.71152869E-16,-3.81130042E-17,-0.00000000E+00,-0.00000000E+00,-1.29442914E-16,-3.62235486E-17,-2.13333510E+06,-9.99840745E+04,-1.10540277E+01,-2.53046657E+00,2.13326845E+05,9.99809506E+03,2.10000000E+05,1.00000000E+04,7.76991745E+06,2.09980203E+05
2.30000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.19976294E+05,-0.00000000E+00,-0.00000000E+00,-9.56269711E+00,-8.04873549E-01,9.62649054E+05,4.30971009E+04,9.62802076E-05,4.31039520E-06,1.04734507E+06,4.68888785E+04,1.04751158E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.18018948E-16,-4.68660789E-17,-0.00000000E+00,-0.00000000E+00,-1.74421965E-16,-4.49790514E-17,-2.23331918E+06,-9.99840745E+04,-1.41582229E+01,-3.10419516E+00,2.23324940E+05,9.99809506E+03,2.20000000E+05,1.00000000E+04,7.76991745E+06,2.19976294E+05
2.40000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.29971686E+05,-0.00000000E+00,-0.00000000E+00,-1.04005551E+01,-8.37857965E-01,1.00574616E+06,4.30971009E+04,1.00590603E-04,4.31039520E-06,1.09423395E+06,4.68888785E+04,1.09440791E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.75122584E-16,-5.71036355E-17,-0.00000000E+00,-0.00000000E+00,-2.29641000E-16,-5.52190342E-17,-2.33330325E+06,-9.99840745E+04,-1.79283785E+01,-3.77015560E+00,2.33323035E+05,9.99809506E+03,2.30000000E+05,1.00000000E+04,7.76991745E+06,2.29971686E+05
2.50000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.39966278E+05,-0.00000000E+00,-0.00000000E+00,-1.12711773E+01,-8.70622199E-01,1.04884326E+06,4.30971009E+04,1.04900998E-04,4.31039520E-06,1.14112282E+06,4.68888785E+04,1.14130425E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-3.44117244E-16,-6.89946604E-17,-0.00000000E+00,-0.00000000E+00,-2.96753483E-16,-6.71124834E-17,-2.43328733E+06,-9.99840745E+04,-2.24655768E+01,-4.53719827E+00,2.43321130E+05,9.99809506E+03,2.40000000E+05,1.00000000E+04,7.76991745E+06,2.39966278E+05
2.60000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.49959961E+05,-0.00000000E+00,-0.00000000E+00,-1.21743513E+01,-9.03173997E-01,1.09194036E+06,4.30971009E+04,1.09211393E-04,4.31039520E-06,1.18801170E+06,4.68888785E+04,1.18820058E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-4.26835819E-16,-8.27185752E-17,-0.00000000E+00,-0.00000000E+00,-3.77592304E-16,-8.08388205E-17,-2.53327140E+06,-9.99840745E+04,-2.78799607E+01,-5.41438388E+00,2.53319225E+05,9.99809506E+03,2.50000000E+05,1.00000000E+04,7.76991745E+06,2.49959961E+05
2.70000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.59952614E+05,-0.00000000E+00,-0.00000000E+00,-1.31098719E+01,-9.35520664E-01,1.13503746E+06,4.30971009E+04,1.13521788E-04,4.31039520E-06,1.23490058E+06,4.68888785E+04,1.23509691E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-5.25301131E-16,-9.84653114E-17,-0.00000000E+00,-0.00000000E+00,-4.74180281E-16,-9.65879771E-17,-2.63325547E+06,-9.99840745E+04,-3.42909083E+01,-6.41094769E+00,2.63317320E+05,9.99809506E+03,2.60000000E+05,1.00000000E+04,7.76991745E+06,2.59952614E+05
2.80000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.69944110E+05,-0.00000000E+00,-0.00000000E+00,-1.40775410E+01,-9.67669085E-01,1.17813456E+06,4.30971009E+04,1.17832184E-04,4.31039520E-06,1.28178946E+06,4.68888785E+04,1.28199325E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-6.41736502E-16,-1.16435371E-16,-0.00000000E+00,-0.00000000E+00,-5.88740736E-16,-1.14560455E-16,-2.73323955E+06,-9.99840745E+04,-4.18271724E+01,-7.53626406E+00,2.73315415E+05,9.99809506E+03,2.70000000E+05,1.00000000E+04,7.76991745E+06,2.69944110E+05
2.90000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.79934311E+05,-0.00000000E+00,-0.00000000E+00,-1.50771668E+01,-9.99625747E-01,1.22123166E+06,4.30971009E+04,1.22142579E-04,4.31039520E-06,1.32867834E+06,4.68888785E+04,1.32888958E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-7.78576376E-16,-1.36839874E-16,-0.00000000E+00,-0.00000000E+00,-7.23708111E-16,-1.34967375E-16,-2.83322362E+06,-9.99840745E+04,-5.06269843E+01,-8.79981185E+00,2.83313510E+05,9.99809506E+03,2.80000000E+05,1.00000000E+04,7.76991745E+06,2.79934311E+05
3.00000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.89923068E+05,-0.00000000E+00,-0.00000000E+00,-1.61085635E+01,-1.03139676E+00,1.26432876E+06,4.30971009E+04,1.26452974E-04,4.31039520E-06,1.37556722E+06,4.68888785E+04,1.37578591E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-9.38476969E-16,-1.59900593E-16,-0.00000000E+00,-0.00000000E+00,-8.81738618E-16,-1.58030508E-16,-2.93320770E+06,-9.99840745E+04,-6.08381249E+01,-1.02111406E+01,2.93311605E+05,9.99809506E+03,2.90000000E+05,1.00000000E+04,7.76991745E+06,2.89923068E+05
3.10000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.99910225E+05,-0.00000000E+00,-0.00000000E+00,-1.71715514E+01,-1.06298787E+00,1.30742586E+06,4.30971009E+04,1.30763369E-04,4.31039520E-06,1.42245609E+06,4.68888785E+04,1.42268225E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.12432694E-15,-1.85849973E-16,-0.00000000E+00,-0.00000000E+00,-1.06572092E-15,-1.83982301E-16,-3.03319177E+06,-9.99840745E+04,-7.26179627E+01,-1.17798378E+01,3.03309700E+05,9.99809506E+03,3.00000000E+05,1.00000000E+04,7.76991745E+06,2.99910225E+05
3.20000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.09895616E+05,-0.00000000E+00,-0.00000000E+00,-1.82659559E+01,-1.09440448E+00,1.35052296E+06,4.30971009E+04,1.35073764E-04,4.31039520E-06,1.46934497E+06,4.68888785E+04,1.46957858E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.33925809E-15,-2.14931149E-16,-0.00000000E+00,-0.00000000E+00,-1.27878681E-15,-2.13065887E-16,-3.13317585E+06,-9.99840745E+04,-8.61334602E+01,-1.35154976E+01,3.13307795E+05,9.99809506E+03,3.10000000E+05,1.00000000E+04,7.76991745E+06,3.09895616E+05
3.30000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.19879062E+05,-0.00000000E+00,-0.00000000E+00,-1.93916076E+01,-1.12565168E+00,1.39362006E+06,4.30971009E+04,1.39384160E-04,4.31039520E-06,1.51623385E+06,4.68888785E+04,1.51647492E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.58665603E-15,-2.47397940E-16,-0.00000000E+00,-0.00000000E+00,-1.52432189E-15,-2.45535087E-16,-3.23315992E+06,-9.99840745E+04,-1.01561150E+02,-1.54276901E+01,3.23305890E+05,9.99809506E+03,3.20000000E+05,1.00000000E+04,7.76991745E+06,3.19879062E+05
3.40000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.29860380E+05,-0.00000000E+00,-0.00000000E+00,-2.05483418E+01,-1.15673425E+00,1.43671716E+06,4.30971009E+04,1.43694555E-04,4.31039520E-06,1.56312273E+06,4.68888785E+04,1.56337125E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.87017088E-15,-2.83514846E-16,-0.00000000E+00,-0.00000000E+00,-1.80597629E-15,-2.81654399E-16,-3.33314400E+06,-9.99840745E+04,-1.19087084E+02,-1.75259335E+01,3.33303985E+05,9.99809506E+03,3.30000000E+05,1.00000000E+04,7.76991745E+06,3.29860380E+05
3.50000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.39839372E+05,-0.00000000E+00,-0.00000000E+00,-2.17359985E+01,-1.18765667E+00,1.47981427E+06,4.30971009E+04,1.48004950E-04,4.31039520E-06,1.61001161E+06,4.68888785E+04,1.61026758E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.19372790E-15,-3.23557026E-16,-0.00000000E+00,-0.00000000E+00,-2.12767527E-15,-3.21698984E-16,-3.43312807E+06,-9.99840745E+04,-1.38906750E+02,-1.98196661E+01,3.43302081E+05,9.99809506E+03,3.40000000E+05,1.00000000E+04,7.76991745E+06,3.39839372E+05
3.60000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.49815836E+05,-0.00000000E+00,-0.00000000E+00,-2.29544216E+01,-1.21842316E+00,1.52291137E+06,4.30971009E+04,1.52315345E-04,4.31039520E-06,1.65690049E+06,4.68888785E+04,1.65716392E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.56153818E-15,-3.67810274E-16,-0.00000000E+00,-0.00000000E+00,-2.49362991E-15,-3.65954634E-16,-3.53311214E+06,-9.99840745E+04,-1.61224971E+02,-2.23182210E+01,3.53300176E+05,9.99809506E+03,3.50000000E+05,1.00000000E+04,7.76991745E+06,3.49815836E+05
3.70000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.59789556E+05,-0.00000000E+00,-0.00000000E+00,-2.42034593E+01,-1.24903764E+00,1.56600847E+06,4.30971009E+04,1.56625740E-04,4.31039520E-06,1.70378937E+06,4.68888785E+04,1.70406025E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.97810916E-15,-4.16570983E-16,-0.00000000E+00,-0.00000000E+00,-2.90834765E-15,-4.14717744E-16,-3.63309622E+06,-9.99840745E+04,-1.86255773E+02,-2.50308020E+01,3.63298271E+05,9.99809506E+03,3.60000000E+05,1.00000000E+04,7.76991745E+06,3.59789556E+05
3.80000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.69760310E+05,-0.00000000E+00,-0.00000000E+00,-2.54829631E+01,-1.27950383E+00,1.60910557E+06,4.30971009E+04,1.60936136E-04,4.31039520E-06,1.75067824E+06,4.68888785E+04,1.75095658E-04,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-3.44825527E-15,-4.70146104E-16,-0.00000000E+00,-0.00000000E+00,-3.37664292E-15,-4.68295264E-16,-3.73308029E+06,-9.99840745E+04,-2.14222234E+02,-2.79664608E+01,3.73296366E+05,9.99809506E+03,3.70000000E+05,1.00000000E+04,7.76991745E+06,3.69760310E+05
