"Time [h]","dt_tran [h]","Global Vaq [mol]","Global Vim [mol]","Bottom Vaq [mol]","Bottom Vaq [mol/h]","Top Vaq [mol]","Top Vaq [mol/h]"
8.55555556E+00,2.77777778E-02,4.09755232E-02,7.79464818E-01,1.77372556E+00,-5.41337722E-04,-5.89801835E-01,-3.96797574E-02
8.66666667E+00,2.77777778E-02,3.81261270E-02,7.74817841E-01,1.77366571E+00,-5.37062605E-04,-5.93818982E-01,-3.41588758E-02
8.77777778E+00,2.77777778E-02,3.59227076E-02,7.70110952E-01,1.77360633E+00,-5.32821254E-04,-5.97288762E-01,-2.95855059E-02
8.88888889E+00,2.77777778E-02,3.42363256E-02,7.65367087E-01,1.77354742E+00,-5.28613400E-04,-6.00312843E-01,-2.59010214E-02
9.00000000E+00,2.77777778E-02,3.29534358E-02,7.60604237E-01,1.77348898E+00,-5.24438779E-04,-6.02983317E-01,-2.30056077E-02
9.11111111E+00,2.77777778E-02,3.19781179E-02,7.55836169E-01,1.77343100E+00,-5.20297128E-04,-6.05379638E-01,-2.07795632E-02
9.22222222E+00,2.77777778E-02,3.12322162E-02,7.51073166E-01,1.77337347E+00,-5.16188187E-04,-6.07567610E-01,-1.90998903E-02
9.33333333E+00,2.77777778E-02,3.06540482E-02,7.46322734E-01,1.77331640E+00,-5.12111697E-04,-6.09599849E-01,-1.78515523E-02
9.44444444E+00,2.77777778E-02,3.01962983E-02,7.41590231E-01,1.77325978E+00,-5.08067401E-04,-6.11517148E-01,-1.69338806E-02
9.55555556E+00,2.77777778E-02,2.98235883E-02,7.36879391E-01,1.77320361E+00,-5.04055046E-04,-6.13350286E-01,-1.62631701E-02
9.66666667E+00,2.77777778E-02,2.95100719E-02,7.32192758E-01,1.77314788E+00,-5.00074379E-04,-6.15121922E-01,-1.57726442E-02
9.77777778E+00,2.77777778E-02,2.92372602E-02,7.27532014E-01,1.77309259E+00,-4.96125149E-04,-6.16848382E-01,-1.54108479E-02
9.88888889E+00,2.77777778E-02,2.89921799E-02,7.22898236E-01,1.77303774E+00,-4.92207110E-04,-6.18541194E-01,-1.51392977E-02
1.00000000E+01,2.77777778E-02,2.87658871E-02,7.18292080E-01,1.77298332E+00,-4.88320013E-04,-6.20208358E-01,-1.49299512E-02
1.01111111E+01,2.77777778E-02,2.85523148E-02,7.13713915E-01,1.77292933E+00,-4.84463616E-04,-6.21855339E-01,-1.47628410E-02
1.02222222E+01,2.77777778E-02,2.83474083E-02,7.09163919E-01,1.77287576E+00,-4.80637675E-04,-6.23485817E-01,-1.46240394E-02
1.03333333E+01,2.77777778E-02,2.81484943E-02,7.04642142E-01,1.77282262E+00,-4.76841949E-04,-6.25102244E-01,-1.45040109E-02
